commissioner;category;persons;date;year;month;day;met_with;subject;link
McGuiness_cabinet;cabinet;Florian Denis;12.04.2023;2023.0;4.0;12.0;FTI Consulting Belgium, Mastercard Europe;Digital euro, Crypto finance;
McGuiness_cabinet;cabinet;Florian Denis;17.04.2023;2023.0;4.0;17.0;Federation of European Securities Exchanges;digital euro;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=71488206456-23
Breton_cabinet;cabinet;Maurits-Jan Prinz;17.04.2023;2023.0;4.0;17.0;European Smart Energy Solution Providers;Standard essential patents (SEP);https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=71326222148-95
Breton_cabinet;cabinet;Maurits-Jan Prinz;17.04.2023;2023.0;4.0;17.0;Dassault Systèmes;Virtual worlds;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=454608238523-04
Schinas;commissioner;;25.04.2023;2023.0;4.0;25.0;Mental Health Europe - Santé Mentale Europe;Eu role in mental health;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=245350514009-47
Schinas_cabinet;cabinet;Maria Luisa Llano Cardenal;25.04.2023;2023.0;4.0;25.0;Mental Health Europe - Santé Mentale Europe;Eu role in mental health;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=245350514009-47
McGuiness_cabinet;cabinet;Tommy De Temmerman;04.04.2023;2023.0;4.0;4.0;Hoist Finance AB (publ), Flint Europe;Bank regulation and NPL secondary market;
Von der Leyen_cabinet;cabinet;Peter van Kemseke;13.04.2023;2023.0;4.0;13.0;Siemens AG;discuss the technology used on holistic energy management systems to monitor energy consumption, electric vehicle charging stations, and the use of AI technology and digitalization to optimize design, production, inventory;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=4266797770-31
Von der Leyen_cabinet;cabinet;Peter van Kemseke;13.04.2023;2023.0;4.0;13.0;European Social Insurance Platform AISBL;Pharma Package;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=883980785-32
Von der Leyen_cabinet;cabinet;Peter van Kemseke;13.04.2023;2023.0;4.0;13.0;JPMorgan Chase & Co.;EU Green Deal Industrial Plan/ Energy;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=9171899949-17
Ferreira_cabinet;cabinet;Simeona Manova;13.04.2023;2023.0;4.0;13.0;CONFCOMMERCIO - IMPRESE PER L'ITALIA;European Capital of Local Trade and Retail;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=04877777421-88
Urpilainen_cabinet;cabinet;Sandra Bartelt;17.04.2023;2023.0;4.0;17.0;Verband Entwicklungspolitik und Humanitäre Hilfe deutscher Nichtregierungsorganisationen e.V.;Sustainable Development Goals;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=44781354710-39
Dombrovskis_cabinet;cabinet;Michael Hager;18.04.2023;2023.0;4.0;18.0;ArcelorMittal, Wirtschaftsvereinigung Stahl, Salzgitter AG, thyssenkrupp Steel Europe AG;"Current situation of the steel sector in Europe. 
State-of-play regarding the negotiations on the GSA with the US.";
